Name,Price,Rating,Details,Image,Link
Skechers Girl's Microspec Plus Sneaker,$28.67 - $29.80,4.6,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/61Udfw0SN4L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-MICROSPEC-Sneaker-White/dp/B0CNY65KSK/ref=sr_1_49
Simple Joys by Carter's Girls and Toddlers' Kimmie Nora Jelly Sandal Set,$15.90 - $17.00,4.6,"Fabric type
100% Synthetic
Sole material
Synthetic
Outer material
Synthetic
Closure type
Hook and Loop",https://m.media-amazon.com/images/I/91hyahzKsdL._AC_SY395_.jpg,https://www.amazon.com/Simple-Joys-Carters-Kimmie-Toddler/dp/B08M6G2HW4/ref=sr_1_50
"RUNSIDE Girls Tennis Shoes Lightweight Sports Kids Sneakers Lace-up for Running/Walking, Toddler/Little Kid/Big Kid",$24.99 - $31.99,4.4,"Sole material
Rubber
Outer material
Rubber
Closure type
Lace-Up",https://m.media-amazon.com/images/I/71b9zjF50BL._AC_SY395_.jpg,https://www.amazon.com/RUNSIDE-Lightweight-Sneakers-Running-Gradient/dp/B0BL6T9BTV/ref=sr_1_51
Under Armour Kids' Pre School Pursuit 3 Alternate Closure Running Shoe,$34.89 - $55.58,4.5,"Fabric type
Mesh
Origin
Imported
Sole material
Rubber
Outer material
Mesh",https://m.media-amazon.com/images/I/517BscQAcIL._AC_SY395_.jpg,https://www.amazon.com/Under-Armour-Pursuit-Alternate-High-Vis/dp/B0BZY56ZBQ/ref=sr_1_52
Skechers Girl's Cupcake Cutie Sneaker,$36.23 - $49.95,4.7,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/710ynFaL47L._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Cupcake-Sneaker-Little/dp/B0C5K317NK/ref=sr_1_53
Skechers Girl's Uno Lite-My Drip Sneaker,$30.76 - $52.95,4.8,"Origin
Imported
Sole material
Synthetic Rubber
Outer material
Polyurethane (PU)
Closure type
Lace-Up",https://m.media-amazon.com/images/I/61lo-NLTzML._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Lite-My-Sneaker-Little/dp/B0C4RH7XK2/ref=sr_1_54
RUNSIDE Boys Girls Tennis Shoes Kids Lightweight Breathable Sneakers Lace-up Running Athletic Shoes for Toddler/Little Kid/Big Kid,$24.99 - $32.99,4.4,"Sole material
Ethylene Vinyl Acetate
Outer material
Ethylene Vinyl Acetate (EVA)
Closure type
Lace-Up
Water resistance level
Water Resistant",https://m.media-amazon.com/images/I/71xquOeGN5L._AC_SY395_.jpg,https://www.amazon.com/RUNSIDE-Lightweight-Breathable-Sneakers-Athletic/dp/B0BLYKD5W4/ref=sr_1_55
SKECHERS Girl's Play Scene-Fun Squad Sneaker,$26.50 - $36.95,4.8,"Origin
Imported
Sole material
Polyurethane
Outer material
Textile
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/71NU6SrSncL._AC_SX395_.jpg,https://www.amazon.com/SKECHERS-Girls-Scene-Fun-Sneaker-Toddler/dp/B0D4C4PCJZ/ref=sr_1_56
Skechers Unisex-Child Twinkle Toes Sparkle Lite-Unicorn Craze Sneaker,$24.36 - $35.24,4.4,"Sole material
Leather
Outer material
Canvas
Closure type
Lace-Up
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/81JLQQUrOhL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Baby-Girls-Twinkle-Toes/dp/B07934CK6K/ref=sr_1_57
Skechers Girl's Twinkle Sparks Sneaker,$22.31 - $48.99,4.3,"Origin
Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Polyurethane (PU)
Closure type
Zipper",https://m.media-amazon.com/images/I/71iQQwUg-jL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twinkle-Sparks-Sneaker-Little/dp/B0CPQRQCCB/ref=sr_1_58
Nike Unisex-Child Training Shoe,$38.81 - $55.00,4.7,"Origin
Imported
Sole material
Rubber
Outer material
Rubber
Closure type
Pull-On",https://m.media-amazon.com/images/I/61oHVbuOBDL._AC_SX395_.jpg,https://www.amazon.com/Nike-Runner-Running-Shoes-FN1294-602/dp/B0DB73WTJ1/ref=sr_1_59
"Avia Avi-Play Slip On Boys and Girls Sneakers - Lightweight Tennis, Athletic, No Tie Girls and Boys Shoes - Little and Big Kids Tennis Shoes Size 11-7 - Black, Navy Blue, Grey, White, Pink or Purple",$23.99,4.2,"Sole material
Ethylene Vinyl Acetate
Outer material
Synthetic
Closure type
Pull-On",https://m.media-amazon.com/images/I/81yJxyZYIsL._AC_SY395_.jpg,https://www.amazon.com/Avia-Avi-Play-Slip-Girls-Sneakers/dp/B0DCKFQQYR/ref=sr_1_60
The Children'S Place Girls Uniform Low Top Sneakers,$22.99,4.6,"Fabric type
100% Man Made
Origin
Imported
Sole material
Man Made
Outer material
Rubber",https://m.media-amazon.com/images/I/71z-2zqhDxL._AC_SY500_.jpg,https://www.amazon.com/Childrens-Place-girls-Sneakers-Uniform/dp/B0B4ZZVXLD/ref=sr_1_53
The Children's Place Girl's Elastic Band Sandals,$13.42 - $16.77,4.5,"Sole material
Thermoplastic Rubber
Outer material
Elastic
Closure type
Bungee
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/71rj6qaX1-L._AC_SY500_.jpg,https://www.amazon.com/Childrens-Place-Sandals-Multicolor-Triple/dp/B0CKKLRFYH/ref=sr_1_54
Skechers Kids' Coastline Sneaker,$25.39 - $44.95,4.7,"Origin
Imported
Sole material
Polyurethane
Outer material
Mesh
Closure type
Hook & Loop",https://m.media-amazon.com/images/I/81M5df-NOdL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Girls-Coastline-Sneaker-Little/dp/B0BSMC3PW7/ref=sr_1_55
Skechers Girl's Twinkle Toes TWI-Lites 2.0-Unicorn Wings Sneaker,$26.53 - $54.34,4.5,"Fabric type
100% Synthetic
Origin
Made in USA or Imported
Sole material
Ethylene Vinyl Acetate
Outer material
Fabric, Synthetic",https://m.media-amazon.com/images/I/714wUtO-OKL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Twi-lites-Unicorn-Sneaker-Silver/dp/B082PB14X2/ref=sr_1_56
TOMS Kids Unisex Alpargata 2.0 (Little Kid/Big Kid),$23.47 - $35.00,4.5,"Fabric type
100% Canvas
Origin
Imported
Sole material
Rubber
Outer material
Canvas",https://m.media-amazon.com/images/I/61gYN0Z1zEL._AC_SX395_.jpg,https://www.amazon.com/TOMS-unisex-child-Espadrille-Sneaker/dp/B01KYN8X42/ref=sr_1_57
Skechers Girls' Glimmer Kicks School Struts Sneaker,$34.77 - $40.00,4.6,"Fabric type
100% Synthetic
Origin
Imported
Sole material
Synthetic
Shaft height
Low-top",https://m.media-amazon.com/images/I/51yDLrdigFL._AC_SX395_.jpg,https://www.amazon.com/Skechers-Glimmer-Sneaker-Medium-Little/dp/B07LB2XZ26/ref=sr_1_58
LeIsfIt Toddler Shoes Boys Girls Barefoot Shoes Kids Breathable Sneakers Tennis Shoes Slip on Shoes,$18.99,4.4,"Sole material
Ethylene Vinyl Acetate
Outer material
Soft Fabric
Closure type
Pull-On
Water resistance level
Not Water Resistant",https://m.media-amazon.com/images/I/71YDyWrr6UL._AC_SY395_.jpg,https://www.amazon.com/LeIsfIt-Lightweight-Sneakers-Breathable-Barefoot/dp/B0CLQY4PD4/ref=sr_1_53
